feature,mean_abs_shap
last_purchase_days_ago,0.4356797850905944
support_tickets,0.2975391461425932
tenure_months,0.23547539997921704
is_dormant,0.04246780423563352
city_Delhi,0.010904843131742765
total_orders,0.00827097977610327
subscription_rank,0.007473747730555326
subscription_type_Platinum,0.0059098309082145735
subscription_type_Gold,0.005590977230844942
age,0.005029824165811441
subscription_type_Silver,0.0049193029764861935
avg_order_value,0.0037383336573083552
total_revenue,0.0037222794978687135
city_Mumbai,0.003294658124425891
city_Hyderabad,0.002923738397814325
gender,0.0022002992138861976
city_Chennai,0.0021703899583883106
orders_per_month,0.0017828181994781912
city_Pune,0.0016979719928575541
revenue_per_month,0.0014674287999313829
tickets_per_order,0.0008180273339024103
city_Kolkata,0.0002790039996652441
